subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd3,81,rms,phasic,3336.0,3354.0,18.0,0.0,3336.0,3354.0,3336.0,3354.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,81,tkeo,phasic,3336.0,3354.0,18.0,0.0,3336.0,3354.0,3336.0,3354.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,82,rms,phasic,3381.0,3396.0,15.0,0.0,3381.0,3396.0,3381.0,3396.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,82,tkeo,phasic,3381.0,3396.0,15.0,0.0,3381.0,3396.0,3381.0,3396.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,83,rms,phasic,3450.0,3462.0,12.0,0.0,3450.0,3462.0,3450.0,3462.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,83,tkeo,phasic,3450.0,3462.0,12.0,0.0,3450.0,3462.0,3450.0,3462.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,84,rms,phasic,3468.0,3483.0,15.0,0.0,3468.0,3483.0,3468.0,3483.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,84,tkeo,phasic,3468.0,3483.0,15.0,0.0,3468.0,3483.0,3468.0,3483.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,85,rms,phasic,3498.0,3513.0,15.0,0.0,3498.0,3513.0,3498.0,3513.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,85,tkeo,phasic,3498.0,3513.0,15.0,0.0,3498.0,3513.0,3498.0,3513.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
